DATE;SOURCE_ID;EXTERNAL_REFERENCE;RECORD_TYPE;DESCRIPTION;NET_CREDIT_AMOUNT;NET_DEBIT_AMOUNT;GROSS_AMOUNT;SELLER_AMOUNT;MP_FEE_AMOUNT;FINANCING_FEE_AMOUNT;SHIPPING_FEE_AMOUNT;TAXES_AMOUNT;COUPON_AMOUNT;INSTALLMENTS;PAYMENT_METHOD;TAX_DETAIL;TAX_AMOUNT_TELCO;TRANSACTION_APPROVAL_DATE;POS_ID;POS_NAME;EXTERNAL_POS_ID;STORE_ID;STORE_NAME;EXTERNAL_STORE_ID;CURRENCY;TAXES_DISAGGREGATED;SHIPPING_ID;SHIPMENT_MODE;ORDER_ID;PACK_ID;EFFECTIVE_COUPON_AMOUNT
2024-02-04T16:14:23.000-04:00;71357897333;3756881;release;payment;3028.92;0.00;3105.00;0.00;-35.71;0.00;0.00;-40.37;0.00;1;debvisa;buenos_aires;0.00;2024-01-31T17:11:01.000-04:00;;;;;;;ARS;"[{"amount":-6.21,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-15.53,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-18.63,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:14:32.000-04:00;69999962782;3538511;release;payment;16506.90;0.00;17259.57;0.00;-376.26;0.00;0.00;-376.41;0.00;1;visa;buenos_aires;0.00;2024-01-05T17:13:46.000-04:00;;;;;;;ARS;"[{"amount":-41.82,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-125.47,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"},{"amount":-209.12,"detail":"tax_withholding","financial_entity":"retencion_ganancias"}]";;;;;0.00
2024-02-04T16:14:54.000-04:00;71628591034;3764432;release;payment;3984.45;0.00;4160.00;0.00;-100.67;0.00;0.00;-74.88;0.00;1;available_money;buenos_aires;0.00;2024-02-01T17:13:43.000-04:00;;;;;;;ARS;"[{"amount":-8.32,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-20.80,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-20.80,"detail":"tax_withholding","financial_entity":"retencion_iva"},{"amount":-24.96,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:14:55.000-04:00;71404807780;3742060;release;reserve_for_refund;0.00;320.92;-320.92;0.00;0.00;0.00;0.00;0.00;0.00;1;available_money;;0.00;2024-02-04T16:14:55.000-04:00;;;;;;;ARS;"[]";;;;;0
2024-02-04T16:14:55.000-04:00;71404807780;3742060;release;reserve_for_refund;320.92;0.00;320.92;0.00;0.00;0.00;0.00;0.00;0.00;1;available_money;;0.00;2024-02-04T16:14:55.000-04:00;;;;;;;ARS;"[]";;;;;0
2024-02-04T16:14:55.000-04:00;71404807780;3742060;release;refund;0.00;320.92;-333.33;0.00;8.07;0.00;0.00;4.34;0.00;1;available_money;debitos_creditos;0.00;2024-02-04T16:14:55.000-04:00;;;;;;;ARS;"[{"amount":2.00,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"},{"amount":1.67,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":0.67,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"}]";;;;;0.00
2024-02-04T16:14:58.000-04:00;71564623880;3756885;release;payment;8310.29;0.00;8519.01;0.00;-97.97;0.00;0.00;-110.75;0.00;1;debvisa;buenos_aires;0.00;2024-01-31T17:13:34.000-04:00;;;;;;;ARS;"[{"amount":-17.04,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-42.60,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-51.11,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:15:09.000-04:00;71029163189;3712680;release;payment;26079.88;0.00;27603.60;0.00;-1164.87;0.00;0.00;-358.85;0.00;1;consumer_credits;buenos_aires;0.00;2024-01-25T17:11:36.000-04:00;;;;;;;ARS;"[{"amount":-55.21,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-138.02,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-165.62,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:15:09.000-04:00;71029163189;3712680;release;refund;0.00;297.57;-314.95;0.00;13.29;0.00;0.00;4.09;0.00;1;consumer_credits;buenos_aires;0.00;2024-01-27T04:37:55.000-04:00;;;;;;;ARS;"[{"amount":0.63,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":1.57,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":1.89,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:15:42.000-04:00;71358299059;3756902;release;payment;7789.81;0.00;7985.45;0.00;-91.83;0.00;0.00;-103.81;0.00;1;debmaster;buenos_aires;0.00;2024-01-31T17:14:40.000-04:00;;;;;;;ARS;"[{"amount":-15.97,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-39.93,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-47.91,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:15:42.000-04:00;71358299059;3756902;release;refund;0.00;1622.44;-1663.20;0.00;19.13;0.00;0.00;21.63;0.00;1;debmaster;buenos_aires;0.00;2024-02-02T13:50:53.000-04:00;;;;;;;ARS;"[{"amount":3.33,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":8.32,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":9.98,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
