DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,EFFECTIVE_COUPON_AMOUNT
2024-02-04T07:45:45.000-04:00,70008966940,3539800.0,release,payment,3061.41,0.0,3256.6,0.0,-70.99,0.0,0.0,-124.2,0.0,1,amex,buenos_aires,0.0,2024-01-05T08:44:40.000-04:00,,,,,,,ARS,"[{amount"":-13.80,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-41.40,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-69.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:45:51.000-04:00,71596259554,3759741.0,release,payment,9319.88,0.0,9730.5,0.0,-235.48,0.0,0.0,-175.14,0.0,1,available_money,buenos_aires,0.0,2024-02-01T08:42:04.000-04:00,,,,,,,ARS,"[{amount"":-19.46,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-48.65,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-48.65,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-58.38,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:45:51.000-04:00,71596259554,3759741.0,release,refund,0.0,2260.9,-2360.5,0.0,57.12,0.0,0.0,42.48,0.0,1,available_money,buenos_aires,0.0,2024-02-02T07:54:53.000-04:00,,,,,,,ARS,"[{amount"":4.72,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":11.80,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":11.80,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":14.16,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:46:04.000-04:00,71327270035,3754230.0,release,payment,13018.04,0.0,13345.0,0.0,-153.47,0.0,0.0,-173.49,0.0,1,debvisa,buenos_aires,0.0,2024-01-31T08:47:43.000-04:00,,,,,,,ARS,"[{amount"":-26.69,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-66.73,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-80.07,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:46:38.000-04:00,71533484902,3754225.0,release,payment,3950.77,0.0,4050.0,0.0,-46.58,0.0,0.0,-52.65,0.0,1,debvisa,buenos_aires,0.0,2024-01-31T08:45:17.000-04:00,,,,,,,ARS,"[{amount"":-8.10,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-20.25,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-24.30,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:46:45.000-04:00,69813690495,3540167.0,release,payment,2765.64,0.0,2985.0,0.0,-65.07,0.0,0.0,-154.29,0.0,1,visa,buenos_aires,0.0,2024-01-05T08:47:23.000-04:00,,,,,,,ARS,"[{amount"":-17.14,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-51.43,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-85.72,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:47:27.000-04:00,71327436823,3754227.0,release,payment,2579.22,0.0,2644.0,0.0,-30.41,0.0,0.0,-34.37,0.0,1,debvisa,buenos_aires,0.0,2024-01-31T08:45:24.000-04:00,,,,,,,ARS,"[{amount"":-5.29,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-13.22,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-15.86,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:47:36.000-04:00,69814253321,3540279.0,release,payment,7822.83,0.0,8221.88,0.0,-179.24,0.0,0.0,-219.81,0.0,1,master,buenos_aires,0.0,2024-01-05T08:45:04.000-04:00,,,,,,,ARS,"[{amount"":-24.42,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-73.27,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-122.12,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:48:03.000-04:00,71596771804,3759769.0,release,payment,13781.06,0.0,14388.25,0.0,-348.2,0.0,0.0,-258.99,0.0,1,available_money,buenos_aires,0.0,2024-02-01T08:49:49.000-04:00,,,,,,,ARS,"[{amount"":-28.78,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-71.94,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-71.94,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-86.33,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:48:04.000-04:00,71389957561,3759779.0,release,payment,19196.05,0.0,20147.0,0.0,-487.56,0.0,0.0,-463.39,0.0,1,available_money,caba,0.0,2024-02-01T08:48:37.000-04:00,,,,,,,ARS,"[{amount"":-40.29,""detail"":""tax_withholding_sirtac"",""financial_entity"":""caba""},{""amount"":-100.74,""detail"":""tax_withholding"",""financial_entity"":""caba""},{""amount"":-100.74,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-100.74,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-120.88,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
